host_000004,2017-01-01 08:57:54,2017-01-01 09:57:54
host_000004,2017-01-02 02:21:04,2017-01-02 03:21:04
host_000004,2017-01-02 07:35:39,2017-01-02 08:35:39
host_000004,2017-01-01 19:37:46,2017-01-01 20:37:46
host_000004,2017-01-02 08:20:11,2017-01-02 09:20:11
host_000004,2017-01-02 02:04:01,2017-01-02 03:04:01
host_000004,2017-01-01 06:49:21,2017-01-01 07:49:21
host_000004,2017-01-01 13:55:12,2017-01-01 14:55:12
host_000004,2017-01-02 16:25:48,2017-01-02 17:25:48
host_000004,2017-01-01 04:53:35,2017-01-01 05:53:35
host_000004,2017-01-02 00:51:42,2017-01-02 01:51:42
host_000004,2017-01-02 00:22:45,2017-01-02 01:22:45
host_000004,2017-01-01 19:47:23,2017-01-01 20:47:23
host_000004,2017-01-01 07:16:05,2017-01-01 08:16:05
host_000004,2017-01-01 09:04:17,2017-01-01 10:04:17
host_000004,2017-01-01 14:12:22,2017-01-01 15:12:22
host_000004,2017-01-01 09:55:25,2017-01-01 10:55:25
host_000004,2017-01-02 00:19:21,2017-01-02 01:19:21
host_000003,2017-01-01 08:52:14,2017-01-01 09:52:14
host_000003,2017-01-02 03:57:06,2017-01-02 04:57:06
host_000003,2017-01-01 04:30:52,2017-01-01 05:30:52
host_000003,2017-01-01 13:13:20,2017-01-01 14:13:20
host_000003,2017-01-02 15:59:05,2017-01-02 16:59:05
host_000003,2017-01-02 19:23:03,2017-01-02 20:23:03
host_000003,2017-01-02 05:04:35,2017-01-02 06:04:35
host_000003,2017-01-01 15:08:22,2017-01-01 16:08:22
host_000003,2017-01-02 16:07:40,2017-01-02 17:07:40
host_000003,2017-01-02 01:42:03,2017-01-02 02:42:03
host_000003,2017-01-01 22:05:52,2017-01-01 23:05:52
host_000003,2017-01-01 21:40:50,2017-01-01 22:40:50
host_000003,2017-01-02 16:45:17,2017-01-02 17:45:17
host_000003,2017-01-01 20:13:56,2017-01-01 21:13:56
host_000003,2017-01-01 08:25:22,2017-01-01 09:25:22
host_000003,2017-01-01 18:20:21,2017-01-01 19:20:21
host_000003,2017-01-01 14:06:45,2017-01-01 15:06:45
host_000003,2017-01-01 07:53:49,2017-01-01 08:53:49
host_000003,2017-01-02 15:10:13,2017-01-02 16:10:13
host_000003,2017-01-01 10:01:30,2017-01-01 11:01:30
host_000003,2017-01-02 00:12:49,2017-01-02 01:12:49
host_000003,2017-01-02 20:02:29,2017-01-02 21:02:29
host_000003,2017-01-01 09:02:38,2017-01-01 10:02:38
host_000003,2017-01-02 01:49:24,2017-01-02 02:49:24
host_000003,2017-01-02 10:24:03,2017-01-02 11:24:03
